album,artist,genre,subgenres
Cozy Tapes Vol. 2: Too Cozy,A$AP Mob,Hip Hop,"Cloud Rap, Crunk, East Coast Hip Hop, Experimental Hip Hop, Hardcore Hip Hop, Mumble Rap, Southern Hip Hop, Trap"
The Cry of Love,Jimi Hendrix,Rock,"Acid Rock, Blues Rock, Classic Rock, Funk Rock, Hard Rock, Psychedelic Rock, Psychedelic Soul"
Culture,Migos,Hip Hop,"Atlanta Hip Hop, Crunk, Mumble Rap, Pop Rap, Southern Hip Hop, Trap"
Culture II,Migos,Hip Hop,"Atlanta Hip Hop, Crunk, Hip House, Mumble Rap, Pop Rap, Southern Hip Hop, Trap"
Culture III,Migos,Hip Hop,"Atlanta Hip Hop, Crunk, Drill, Mumble Rap, Pop Rap, Southern Hip Hop, Trap"
Currents,Tame Impala,Pop,"Dream Pop, Electropop, Indie Rock, Neo-Psychedelia, Psychedelic Pop, Psychedelic Rock, Synthpop, Soft Rock"
DAMN.,Kendrick Lamar,Hip Hop,"Conscious Hip Hop, Conscious Trap, Contemporary R&B, Experimental Hip Hop, Gangsta Rap, Jazz Rap, Pop Rap, Trap, West Coast Hip Hop"
The Dark Side of the Moon,Pink Floyd,Rock,"Art Rock, Classic Rock, Experimental Rock, Progressive Rock, Psychedelic Rock, Space Rock, Symphonic Rock, Concept Album"
Death Race For Love,Juice WRLD,Hip Hop,"Alternative Hip Hop, Alternative R&B, Emo Rap, Melodic Rap, Pop Punk, Pop Rap, Rock Rap, SoundCloud Rap, Trap"
diary 001,Clairo,Pop,"Alternative R&B, Bedroom Pop, Dream Pop, Indie Pop, Lo-Fi Pop, Soft Rock, Synthpop"
Die Lit,Playboi Carti,Hip Hop,"Ambient Trap, Cloud Rap, Mumble Rap, Punk Rap, SoundCloud Rap, Trap"
Dire Straits,Dire Straits,Rock,"Blues Rock, Classic Rock, Country Rock, Pub Rock, Roots Rock, Soft Rock"
Disraeli Gears,Cream,Rock,"Acid Rock, Blues Rock, Classic Rock, Garage Rock, Psychedelic Rock"
The Divine Feminine,Mac Miller,Hip Hop,"Alternative Hip Hop, Contemporary R&B, Jazz Rap, Neo-Soul, Pop Rap, Soulful Hip Hop"
The Division Bell,Pink Floyd,Rock,"Ambient Rock, Arena Rock, Art Rock, Classic Rock, Progressive Rock, Psychedelic Rock, Symphonic Rock"
Donda,Kanye West,Hip Hop,"Alternative Hip Hop, Christian Hip Hop, Drill, Experimental Hip Hop, Gospel Rap, Industrial Hip Hop, Pop Rap, Psychedelic Hip Hop, Trap"
"Don't Forget About Me, Demos",Dominic Fike,Pop,"Alternative Hip Hop, Alternative R&B, Bedroom Pop, Indie Pop, Lo-Fi Pop, Pop Rock"
The Doors,The Doors,Rock,"Acid Rock, Art Rock, Blues Rock, Classic Rock, Hard Rock, Psychedelic Rock"
Drunk,Thundercat,R&B,"Alternative R&B, Art Pop, Electro-Funk, Funk, Jazz Fusion, Neo-Soul, Progressive R&B, Psychedelic Soul"
DS2 (Dirty Sprite 2),Future,Hip Hop,"Atlanta Hip Hop, Mumble Rap, Pop Rap, Psychedelic Trap, Southern Hip Hop, Trap"
